"ANW","20170620","0.007","0.009","0.007","0.009","5887879"
"ANZ","20170620","28.49","28.49","28.00","28.00","5928573"
"ANZBOB","20170620","32.04","32.04","32.04","32.04","0"
"ANZBOF","20170620","32.43","32.43","32.43","32.43","0"
"ANZBOG","20170620","27.62","27.62","27.62","27.62","0"
"ANZBOI","20170620","30.87","30.87","30.87","30.87","0"
"ANZBOJ","20170620","31.65","31.65","31.65","31.65","0"
"ANZBON","20170620","30.20","30.20","30.20","30.20","0"
"ANZHA","20170620","100.90","100.90","100.90","100.90","0"
"ANZIOA","20170620","14.15","14.15","14.15","14.15","0"
"ANZIOV","20170620","14.55","14.55","14.55","14.55","0"
"ANZIOZ","20170620","7.98","7.98","7.98","7.98","0"
"ANZISF","20170620","1.73","1.73","1.73","1.73","0"
"ANZISI","20170620","9.40","9.40","9.40","9.40","0"
"ANZISK","20170620","17.67","17.67","17.67","17.67","0"
"ANZISN","20170620","3.02","3.02","3.02","3.02","0"
"ANZISR","20170620","1.465","1.465","1.465","1.465","0"
"ANZIWJ","20170620","12.78","12.78","12.78","12.78","0"
"ANZIYE","20170620","10.97","10.97","10.97","10.97","0"
"ANZJOA","20170620","15.38","15.38","15.38","15.38","0"
"ANZJOC","20170620","12.70","12.70","12.70","12.70","0"
"ANZJOE","20170620","7.25","7.25","7.25","7.25","0"
"ANZJOF","20170620","16.43","16.43","16.43","16.43","0"
"ANZJOG","20170620","9.15","9.15","9.15","9.15","0"
"ANZJOJ","20170620","8.64","8.64","8.64","8.64","0"
"ANZJOM","20170620","10.36","10.36","10.36","10.36","0"
"ANZJON","20170620","10.37","10.37","10.37","10.37","0"
"ANZJOX","20170620","4.02","4.02","4.02","4.02","400"
"ANZJOZ","20170620","5.39","5.39","5.39","5.39","0"
"ANZKOC","20170620","5.00","5.00","5.00","5.00","0"
"ANZKOD","20170620","2.89","2.89","2.57","2.57","46000"
"ANZKOG","20170620","5.94","5.94","5.94","5.94","0"
"ANZKOH","20170620","3.48","3.50","3.46","3.46","10000"
"ANZKOM","20170620","7.56","7.56","7.56","7.56","0"
"ANZKOP","20170620","6.52","6.52","6.52","6.52","0"
"ANZKOQ","20170620","7.32","7.32","7.32","7.32","0"
"ANZKOR","20170620","4.81","4.81","4.81","4.81","0"
"ANZKOS","20170620","2.55","2.57","2.50","2.50","20000"
"ANZKOT","20170620","3.92","3.92","3.92","3.92","0"
"ANZKOV","20170620","5.80","5.80","5.80","5.80","0"
"ANZLOB","20170620","3.67","3.67","3.67","3.67","0"
"ANZLOE","20170620","1.655","1.655","1.305","1.34","2300"
"ANZLOF","20170620","0.64","0.64","0.64","0.64","0"
"ANZLOL","20170620","2.13","2.13","1.92","1.92","9500"
"ANZLOP","20170620","0.82","0.82","0.82","0.82","0"
"ANZLOS","20170620","2.00","2.00","2.00","2.00","0"
"ANZLOT","20170620","4.66","4.66","4.66","4.66","0"
"ANZLOU","20170620","4.26","4.26","4.26","4.26","0"
"ANZLOV","20170620","5.30","5.30","5.30","5.30","0"
"ANZLOW","20170620","0.68","0.68","0.68","0.68","0"
"ANZMOR","20170620","6.86","6.86","6.86","6.86","0"
"ANZMOT","20170620","9.80","9.80","9.80","9.80","0"
"ANZPC","20170620","101.28","101.30","101.15","101.18","16242"
"ANZPD","20170620","100.331","100.748","100.27","100.449","10246"
"ANZPE","20170620","99.00","99.57","99.00","99.20","13930"
"ANZPF","20170620","99.85","100.53","99.65","100.53","9283"
"ANZPG","20170620","104.15","104.39","103.801","103.801","9965"
"ANZQOJ","20170620","7.54","7.54","7.54","7.54","0"
"ANZSMB","20170620","15.59","15.59","15.59","15.59","0"
"ANZSMY","20170620","16.15","16.15","16.15","16.15","0"
"ANZSO1","20170620","11.74","11.74","11.74","11.74","0"
"ANZSO2","20170620","14.38","14.38","14.38","14.38","0"
"ANZSOA","20170620","15.33","15.33","15.33","15.33","0"
"ANZSOG","20170620","14.45","14.45","14.45","14.45","0"
"ANZSOH","20170620","13.31","13.31","13.31","13.31","0"
"ANZSOM","20170620","19.61","19.61","19.61","19.61","0"
"ANZSS4","20170620","5.34","5.34","5.34","5.34","0"
"ANZSSA","20170620","11.81","11.81","11.81","11.81","2137"
"ANZSSE","20170620","12.15","12.15","12.15","12.15","0"
"ANZSSL","20170620","13.81","13.81","13.81","13.81","0"
"ANZSSY","20170620","2.32","2.32","2.32","2.32","0"
"ANZSSZ","20170620","15.58","15.58","15.58","15.58","0"
"ANZSWJ","20170620","25.73","25.73","25.73","25.73","0"
"ANZSWK","20170620","18.37","18.37","18.37","18.37","0"
"ANZSWR","20170620","13.71","13.71","13.71","13.71","0"
"ANZSWT","20170620","15.32","15.32","15.32","15.32","0"
"ANZSWV","20170620","7.29","7.29","7.29","7.29","0"
"ANZSWW","20170620","17.42","17.42","17.42","17.42","0"
"ANZWOA","20170620","0.17","0.17","0.17","0.17","0"
"ANZWOB","20170620","0.05","0.05","0.05","0.05","0"
"ANZWOC","20170620","0.385","0.385","0.385","0.385","50000"
"ANZWOP","20170620","0.03","0.03","0.03","0.03","0"
"ANZWOQ","20170620","0.095","0.095","0.095","0.095","0"
"ANZWOS","20170620","0.425","0.425","0.425","0.425","0"
"ANZXOB","20170620","2.07","2.07","2.07","2.07","500"
"ANZXOE","20170620","1.20","1.20","1.20","1.20","0"
"ANZXOF","20170620","2.59","2.59","2.59","2.59","0"
"ANZXOP","20170620","0.97","0.97","0.97","0.97","0"
"ANZXOT","20170620","0.77","0.77","0.77","0.77","0"
"ANZXOU","20170620","0.32","0.32","0.32","0.32","0"
"AO1","20170620","0.21","0.21","0.21","0.21","12243"
"AO1O","20170620","0.05","0.05","0.05","0.05","0"
"AO1OA","20170620","0.045","0.045","0.045","0.045","0"
"AOA","20170620","0.004","0.004","0.004","0.004","0"
"AOD","20170620","0.695","0.695","0.695","0.695","0"
"AOF","20170620","2.18","2.19","2.17","2.18","126907"
